"Genotype","Country","Freq","Relative freq","Man (n=644)","Woman (n=788)","Centralised (n=1041)","Home (n=394)"
"Apomuden","Ghana",237,"16.5%",108,129,208,29
"CIP442162","Ghana",113,"7.9%",51,62,98,15
"Ligri","Ghana",239,"16.7%",112,127,210,29
"Nan","Ghana",234,"16.3%",105,129,206,28
"Obare","Ghana",235,"16.4%",104,131,208,27
"PG17140-N2","Ghana",113,"7.9%",59,54,98,15
"PG17206-N5","Ghana",117,"8.2%",48,69,101,16
"PG17265-N1","Ghana",117,"8.2%",54,63,103,14
"PG17305-N1","Ghana",118,"8.2%",56,62,104,14
"PG173136-N1","Ghana",116,"8.1%",51,65,101,15
"PG17362-N1","Ghana",115,"8%",55,60,101,14
"PG17412-N2","Ghana",120,"8.4%",49,71,104,16
"PGA14011-24","Ghana",116,"8.1%",58,58,105,11
"PGN16021-39","Ghana",120,"8.4%",56,64,105,15
"PGN16024-27","Ghana",120,"8.4%",51,69,105,15
"PGN16024-28","Ghana",117,"8.2%",47,70,105,12
"PGN16030-30","Ghana",118,"8.2%",58,60,105,13
"PGN16092-6","Ghana",117,"8.2%",51,66,105,12
"PGN16130-4","Ghana",113,"7.9%",53,60,105,8
"PGN16203-18","Ghana",114,"7.9%",54,60,105,9
"Tu-Purple (Diedi)","Ghana",236,"16.4%",109,127,209,27
"Ejumula","Uganda",217,"15.1%",97,120,63,154
"Kakamega","Uganda",226,"15.7%",96,130,79,147
"Naspot 10 (Kabode)","Uganda",205,"14.3%",80,122,75,130
"Naspot 12","Uganda",189,"13.2%",80,106,70,119
"Naspot 13","Uganda",217,"15.1%",92,122,82,135
"Naspot 8","Uganda",206,"14.4%",98,108,63,143
