"items","win_probs","worst_regret"
"PG173136-N1",0.113191924766141,0.0264172567313854
"PG17362-N1",0.0623170915846856,0.0700688480602542
"Nan",0.0719729152726318,0.117307750938218
"PG17206-N5",0.0380848278408823,0.125940361261897
"CIP442162",0.0638376664846771,0.133359334140068
"PG17140-N2",0.0225979762963374,0.150046557949104
"Apomuden",0.0359413318772378,0.150757256540003
"PGN16021-39",0.0451955469453839,0.15498867655387
"PG17265-N1",0.0438869596716475,0.154999822706178
"PGN16203-18",0.0331772323170714,0.155329519704139
"PG17305-N1",0.0582863362263539,0.156682357111008
"PG17412-N2",0.0324392457783155,0.161557003536969
"Tu-Purple (Diedi)",0.0345866786276864,0.165446702759437
"PGN16024-28",0.0419842893312439,0.165472972641951
"PGN16092-6",0.0397712108385771,0.165567450605917
"Ligri",0.046162982000355,0.166120778452751
"PGN16024-27",0.0342725920047561,0.168255679486268
"PGN16030-30",0.0243307840971635,0.169008415423624
"PGN16130-4",0.0393913001231544,0.169743784857832
"PGA14011-24",0.0399654081023607,0.173883723580053
"Obare",0.0786056998133378,0.176454256542603
